,y,x,stop_id_old,stop_id_new,stop_name_new
257,5.656854249,17.60660172,place-boyls,70159,Boylston - Outbound
256,5.656854249,17.60660172,place-boyls,70158,Boylston - Inbound
60,5.656854249,16.60660172,place-armnl,70157,Arlington - Outbound
59,5.656854249,16.60660172,place-armnl,70156,Arlington - Inbound
477,5.656854249,15.60660172,place-coecl,70155,Copley - Outbound
476,5.656854249,15.60660172,place-coecl,70154,Copley - Inbound
828,5.656854249,14.60660172,place-hymnl,70153,Hynes - Outbound
827,5.656854249,14.60660172,place-hymnl,70152,Hynes - Inbound
905,5.656854249,13.60660172,place-kencl,70151,Kenmore - Outbound
904,5.656854249,13.60660172,place-kencl,70150,Kenmore - Inbound
208,4.949747468,12.89949494,place-bland,70149,Blandford Street - Outbound
207,4.949747468,12.89949494,place-bland,70148,Blandford Street - Inbound
339,4.242640687,12.19238816,place-buest,70147,Boston Univ East - Outbound
338,4.242640687,12.19238816,place-buest,70146,Boston Univ East - Inbound
330,3.535533906,11.48528137,place-bucen,70145,Boston Univ Central - Outbound
329,3.535533906,11.48528137,place-bucen,70144,Boston Univ Central - Inbound
357,2.828427125,10.77817459,place-buwst,70143,Boston Univ West - Outbound
356,2.828427125,10.77817459,place-buwst,70142,Boston Univ West - Inbound
1777,2.121320344,10.07106781,place-stplb,70141,Saint Paul Street - Outbound
1776,2.121320344,10.07106781,place-stplb,70140,Saint Paul Street - Inbound
1351,1.414213562,9.363961031,place-plsgr,70139,Pleasant Street - Outbound
1350,1.414213562,9.363961031,place-plsgr,70138,Pleasant Street - Inbound
126,0.707106781,8.656854249,place-babck,70137,Babcock Street - Outbound
125,0.707106781,8.656854249,place-babck,70136,Babcock Street - Inbound
291,0,7.949747468,place-brico,70135,Packards Corner - Outbound
290,0,7.949747468,place-brico,70134,Packards Corner - Inbound
790,0,6.949747468,place-harvd,70131,Harvard Avenue - Outbound
789,0,6.949747468,place-harvd,70130,Harvard Avenue - Inbound
711,0,5.949747468,place-grigg,70129,Griggs Street - Outbound
710,0,5.949747468,place-grigg,70128,Griggs Street - Inbound
10,0.707106781,5.242640687,place-alsgr,70127,Allston Street - Outbound
9,0.707106781,5.242640687,place-alsgr,70126,Allston Street - Inbound
1971,1.414213562,4.535533906,place-wrnst,70125,Warren Street - Outbound
1970,1.414213562,4.535533906,place-wrnst,70124,Warren Street - Inbound
1890,2.121320344,3.828427125,place-wascm,70121,Washington Street - Outbound
1889,2.121320344,3.828427125,place-wascm,70120,Washington Street - Inbound
1768,2.828427125,3.121320344,place-sthld,70117,Sutherland Road - Outbound
1767,2.828427125,3.121320344,place-sthld,70116,Sutherland Road - Inbound
447,3.535533906,2.414213562,place-chswk,70115,Chiswick Road - Outbound
446,3.535533906,2.414213562,place-chswk,70114,Chiswick Road - Inbound
420,4.242640687,1.707106781,place-chill,70113,Chestnut Hill Avenue - Outbound
