stop_id_old,stop_id_new,stop_name_new
place-jfk,70086,JFK/UMASS Ashmont - Inbound
place-jfk,70085,JFK/UMASS Ashmont - Outbound
place-andrw,70084,Andrew - Inbound
place-andrw,70083,Andrew - Outbound
place-brdwy,70082,Broadway - Inbound
place-brdwy,70081,Broadway - Outbound
place-sstat,70080,South Station - Inbound
place-sstat,70079,South Station - Outbound
place-dwnxg,70078,Downtown Crossing - to Alewife
place-dwnxg,70077,Downtown Crossing - to Ashmont/Braintree
place-pktrm,70076,Park Street - to Alewife
place-pktrm,70075,Park Street - to Ashmont/Braintree
place-chmnl,70074,Charles/MGH - Outbound
place-chmnl,70073,Charles/MGH - Inbound
place-knncl,70072,Kendall/MIT - Outbound
place-knncl,70071,Kendall/MIT - Inbound
place-cntsq,70070,Central - Outbound
place-cntsq,70069,Central - Inbound
place-harsq,70068,Harvard - Outbound
place-harsq,70067,Harvard - Inbound
place-portr,70066,Porter - Outbound
place-portr,70065,Porter - Inbound
place-davis,70064,Davis - Outbound
place-davis,70063,Davis - Inbound
place-alfcl,70061,Alewife
place-wondl,70060,Wonderland - Outbound
place-wondl,70059,Wonderland - Inbound
place-rbmnl,70058,Revere Beach - Outbound
place-rbmnl,70057,Revere Beach - Inbound
place-bmmnl,70056,Beachmont - Outbound
place-bmmnl,70055,Beachmont - Inbound
place-sdmnl,70054,Suffolk Downs - Outbound
place-sdmnl,70053,Suffolk Downs - Inbound
place-orhte,70052,Orient Heights - Outbound
place-orhte,70051,Orient Heights - Inbound
place-wimnl,70050,Wood Island - Outbound
place-wimnl,70049,Wood Island - Inbound
place-aport,70048,Airport - Outbound
place-aport,70047,Airport - Inbound
place-mvbcl,70046,Maverick - Outbound
place-mvbcl,70045,Maverick - Inbound
place-aqucl,70044,Aquarium - Outbound
place-aqucl,70043,Aquarium - Inbound
place-state,70042,State Street - to Wonderland
place-state,70041,State Street - to Bowdoin
place-gover,70040,Government Center - to Wonderland
place-gover,70039,Government Center - to Bowdoin
place-bomnl,70038,Bowdoin - Inbound
place-ogmnl,70036,Oak Grove
place-mlmnl,70035,Malden - Outbound
place-mlmnl,70034,Malden - Inbound
place-welln,70033,Wellington - Outbound
place-welln,70032,Wellington - Inbound
place-sull,70031,Sullivan Square - Outbound
place-sull,70030,Sullivan Square - Inbound
place-ccmnl,70029,Community College - Outbound
place-ccmnl,70028,Community College - Inbound
place-north,70027,North Station - Orange Line Outbound
place-north,70026,North Station - Orange Line Inbound
place-haecl,70025,Haymarket - Orange Line Outbound
place-haecl,70024,Haymarket - Orange Line Inbound
place-state,70023,State Street - to Oak Grove
place-state,70022,State Street - to Forest Hills
place-dwnxg,70021,Downtown Crossing - to Oak Grove
place-dwnxg,70020,Downtown Crossing - to Forest Hills
place-chncl,70019,Chinatown - Inbound
place-chncl,70018,Chinatown - Outbound
place-tumnl,70017,Tufts Medical Center - Inbound
place-tumnl,70016,Tufts Medical Center - Outbound
place-bbsta,70015,Back Bay - Inbound
place-bbsta,70014,Back Bay - Outbound
place-masta,70013,Massachusetts Avenue - Inbound
place-masta,70012,Massachusetts Avenue - Outbound
place-rugg,70011,Ruggles - Inbound
place-rugg,70010,Ruggles - Outbound
place-rcmnl,70009,Roxbury Crossing - Inbound
place-rcmnl,70008,Roxbury Crossing - Outbound
place-jaksn,70007,Jackson Square - Inbound
place-jaksn,70006,Jackson Square - Outbound
place-sbmnl,70005,Stony Brook - Inbound
place-sbmnl,70004,Stony Brook - Outbound
place-grnst,70003,Green Street - Inbound
place-grnst,70002,Green Street - Outbound
place-forhl,70001,Forest Hills Orange Line
