,Station,x,y,stop_id_new,stop_name_new
103,place-stplb,7.057,5.481,70141,Saint Paul Street - Outbound
104,place-stplb,7.057,5.481,70140,Saint Paul Street - Inbound
105,place-plsgr,6.562,4.986,70139,Pleasant Street - Outbound
106,place-plsgr,6.562,4.986,70138,Pleasant Street - Inbound
107,place-babck,5.862,4.986,70137,Babcock Street - Outbound
108,place-babck,5.862,4.986,70136,Babcock Street - Inbound
109,place-brico,5.162,4.986,70135,Packards Corner - Outbound
110,place-brico,5.162,4.986,70134,Packards Corner - Inbound
111,place-harvd,4.667,5.481,70131,Harvard Avenue - Outbound
112,place-harvd,4.667,5.481,70130,Harvard Avenue - Inbound
113,place-grigg,4.172,5.976,70129,Griggs Street - Outbound
114,place-grigg,4.172,5.976,70128,Griggs Street - Inbound
115,place-alsgr,3.677,6.471,70127,Allston Street - Outbound
116,place-alsgr,3.677,6.471,70126,Allston Street - Inbound
117,place-wrnst,3.182,6.966,70125,Warren Street - Outbound
118,place-wrnst,3.182,6.966,70124,Warren Street - Inbound
119,place-wascm,2.687,7.461,70121,Washington Street - Outbound
120,place-wascm,2.687,7.461,70120,Washington Street - Inbound
121,place-sthld,2.192,7.956,70117,Sutherland Road - Outbound
122,place-sthld,2.192,7.956,70116,Sutherland Road - Inbound
123,place-chswk,1.697,8.451,70115,Chiswick Road - Outbound
124,place-chswk,1.697,8.451,70114,Chiswick Road - Inbound
125,place-chill,1.202,8.946,70113,Chestnut Hill Avenue - Outbound
126,place-chill,1.202,8.946,70112,Chestnut Hill Avenue - Inbound
127,place-sougr,0.707,9.441,70111,South Street - Outbound
128,place-sougr,0.707,9.441,70110,South Street - Inbound
129,place-lake,0,10.148,70107,Boston College - Outbound
130,place-lake,0,10.148,70106,Boston College - Inbound
131,place-smary,7.744,8.168,70212,Saint Mary Street - Inbound
132,place-smary,7.744,8.168,70211,Saint Mary Street - Outbound
133,place-hwsst,7.249,7.673,70214,Hawes Street - Inbound
134,place-hwsst,7.249,7.673,70213,Hawes Street - Outbound
135,place-kntst,6.549,7.673,70216,Kent Street - Inbound
136,place-kntst,6.549,7.673,70215,Kent Street - Outbound
137,place-stpul,6.054,8.168,70218,Saint Paul Street - Inbound
138,place-stpul,6.054,8.168,70217,Saint Paul Street - Outbound
139,place-cool,5.559,8.663,70220,Coolidge Corner - Inbound
140,place-cool,5.559,8.663,70219,Coolidge Corner - Outbound
141,place-sumav,5.064,9.158,70224,Summit Avenue - Inbound
142,place-sumav,5.064,9.158,70223,Summit Avenue - Outbound
143,place-bndhl,4.569,9.653,70226,Brandon Hall - Inbound
144,place-bndhl,4.569,9.653,70225,Brandon Hall - Outbound
145,place-fbkst,4.074,10.148,70228,Fairbanks Street - Inbound
146,place-fbkst,4.074,10.148,70227,Fairbanks Street - Outbound
147,place-bcnwa,3.579,10.643,70230,Washington Square - Inbound
148,place-bcnwa,3.579,10.643,70229,Washington Square - Outbound
149,place-tapst,3.084,11.138,70232,Tappan Street - Inbound
150,place-tapst,3.084,11.138,70231,Tappan Street - Outbound
151,place-denrd,2.589,11.633,70234,Dean Road - Inbound
152,place-denrd,2.589,11.633,70233,Dean Road - Outbound
153,place-engav,2.094,12.128,70236,Englewood Avenue - Inbound
154,place-engav,2.094,12.128,70235,Englewood Avenue - Outbound
155,place-clmnl,1.387,12.835,70238,Cleveland Circle - Inbound
156,place-clmnl,1.387,12.835,70237,Cleveland Circle - Outbound
157,place-fenwy,9.037,8.875,70187,Fenway - Outbound
158,place-fenwy,9.037,8.875,70186,Fenway - Inbound
159,place-longw,8.542,9.37,70183,Longwood - Outbound
160,place-longw,8.542,9.37,70182,Longwood - Inbound
161,place-bvmnl,8.047,9.865,70181,Brookline Village - Outbound
162,place-bvmnl,8.047,9.865,70180,Brookline Village - Inbound
163,place-brkhl,7.552,10.36,70179,Brookline Hills - Outbound
164,place-brkhl,7.552,10.36,70178,Brookline Hills - Inbound
165,place-bcnfd,7.057,10.855,70177,Beaconsfield - Outbound
166,place-bcnfd,7.057,10.855,70176,Beaconsfield - Inbound
167,place-rsmnl,6.562,11.35,70175,Reservoir - Outbound
168,place-rsmnl,6.562,11.35,70174,Reservoir - Inbound
169,place-chhil,6.067,11.845,70173,Chestnut Hill - Outbound
170,place-chhil,6.067,11.845,70172,Chestnut Hill - Inbound
171,place-newto,5.572,12.34,70171,Newton Centre - Outbound
172,place-newto,5.572,12.34,70170,Newton Centre - Inbound
173,place-newtn,5.077,12.835,70169,Newton Highlands - Outbound
174,place-newtn,5.077,12.835,70168,Newton Highlands - Inbound
175,place-eliot,4.582,13.33,70167,Eliot - Outbound
176,place-eliot,4.582,13.33,70166,Eliot - Inbound
177,place-waban,4.087,13.825,70165,Waban - Outbound
178,place-waban,4.087,13.825,70164,Waban - Inbound
179,place-woodl,3.592,14.32,70163,Woodland - Outbound
180,place-woodl,3.592,14.32,70162,Woodland - Inbound
181,place-river,2.885,15.027,70161,Riverside - Outbound
182,place-river,2.885,15.027,70160,Riverside - Inbound
183,place-prmnl,11.037,8.875,70240,Prudential - Inbound
184,place-prmnl,11.037,8.875,70239,Prudential - Outbound
185,place-symcl,11.037,9.875,70242,Symphony - Inbound
186,place-symcl,11.037,9.875,70241,Symphony - Outbound
187,place-nuniv,10.542,10.37,70244,Northeastern - Inbound
188,place-nuniv,10.542,10.37,70243,Northeastern - Outbound
189,place-mfa,10.047,10.865,70246,Museum of Fine Arts - Inbound
190,place-mfa,10.047,10.865,70245,Museum of Fine Arts - Outbound
191,place-lngmd,9.552,11.36,70248,Longwood Medical Area - Inbound
192,place-lngmd,9.552,11.36,70247,Longwood Medical Area - Outbound
193,place-brmnl,9.057,11.855,70250,Brigham Circle - Inbound
194,place-brmnl,9.057,11.855,70249,Brigham Circle - Outbound
195,place-fenwd,8.562,12.35,70252,Fenwood Road - Inbound
