place-wondl,place-rbmnl,place-bmmnl,place-sdmnl,place-orhte,place-wimnl,place-aport,place-mvbcl,place-aqucl,place-state,place-haecl-orange,place-dwnxg,place-chncl,place-tumnl,place-bbsta,place-masta,place-rugg,place-rcmnl,place-jaksn,place-sbmnl,place-grnst,place-forhl,place-pktrm,place-sstat,place-brdwy,place-andrw,place-jfk,place-shmnl,place-fldcr,place-smmnl,place-asmnl,place-nqncy,place-wlsta,place-qnctr,place-qamnl,place-brntn,place-gover,place-boyls,place-armnl,place-coecl,place-hymnl,place-kencl,place-bland,place-buest,place-bucen,place-buwst,place-stplb,place-plsgr,place-babck,place-brico,place-harvd,place-grigg,place-alsgr,place-wrnst,place-wascm,place-sthld,place-chswk,place-chill,place-sougr,place-lake,place-smary,place-hwsst,place-kntst,place-stpul,place-cool,place-sumav,place-bndhl,place-fbkst,place-bcnwa,place-tapst,place-denrd,place-engav,place-clmnl,place-fenwy,place-longw,place-bvmnl,place-brkhl,place-bcnfd,place-rsmnl,place-chhil,place-newto,place-newtn,place-eliot,place-waban,place-woodl,place-river,place-prmnl,place-symcl,place-nuniv,place-mfa,place-lngmd,place-brmnl,place-fenwd,place-mispk,place-rvrwy,place-bckhl,place-hsmnl,place-bomnl,place-north-orange,place-chmnl,place-haecl,place-ccmnl,place-knncl,place-north,place-sull,place-cntsq,place-spmnl,place-astao,place-harsq,place-lech,place-welln,place-portr,place-mlmnl,place-davis,place-ogmnl,place-alfcl
22.095,21.459,20.823,20.187,19.551,18.915,18.279,17.572,16.572,15.865,16.926,15.158,14.451,13.744,13.037,12.33,11.623,10.916,10.209,9.502,8.795,8.088,14.451,15.865,15.865,15.865,15.865,15.158,15.158,15.158,15.158,16.572,17.279,17.986,18.693,18.693,15.158,13.744,12.744,11.744,10.744,9.744,9.037,8.542,8.047,7.552,7.057,6.562,5.862,5.162,4.667,4.172,3.677,3.182,2.687,2.192,1.697,1.202,0.707,0,7.744,7.249,6.549,6.054,5.559,5.064,4.569,4.074,3.579,3.084,2.589,2.094,1.387,9.037,8.542,8.047,7.552,7.057,6.562,6.067,5.572,5.077,4.582,4.087,3.592,2.885,11.037,11.037,10.542,10.047,9.552,9.057,8.562,8.067,7.572,7.077,6.37,14.451,16.926,13.602,15.865,16.926,12.753,15.865,16.926,11.904,15.158,16.926,11.055,14.451,16.926,10.206,16.926,9.206,16.926,8.206
3.645,4.281,4.917,5.553,6.189,6.825,7.461,8.168,8.168,7.461,6.4,8.168,8.875,9.582,10.289,10.996,11.703,12.41,13.117,13.824,14.531,15.238,7.461,8.875,9.875,10.875,11.875,12.582,13.582,14.582,15.582,12.582,13.289,13.996,14.703,15.703,6.754,8.168,8.168,8.168,8.168,8.168,7.461,6.966,6.471,5.976,5.481,4.986,4.986,4.986,5.481,5.976,6.471,6.966,7.461,7.956,8.451,8.946,9.441,10.148,8.168,7.673,7.673,8.168,8.663,9.158,9.653,10.148,10.643,11.138,11.633,12.128,12.835,8.875,9.37,9.865,10.36,10.855,11.35,11.845,12.34,12.835,13.33,13.825,14.32,15.027,8.875,9.875,10.37,10.865,11.36,11.855,12.35,12.845,13.34,13.835,14.542,6.047,5.2,6.612,6.047,4.2,5.763,5.047,3.2,4.914,4.34,2.4,4.065,3.633,1.6,3.216,0.8,3.216,0,3.216
