,y,x,stop_id_old,stop_id_new,stop_name_new
252,6.363961031,5.292893219,place-bomnl,place-bomnl,Bowdoin
243,7.071067812,6.363961031,place-bndhl,place-bndhl,Brandon Hall
220,13.02081528,3.878679656,place-bmmnl,place-bmmnl,Beachmont
209,12.89949494,4.949747468,place-bland,place-bland,Blandford Street
186,5.656854249,7.778174593,place-bcnwa,place-bcnwa,Washington Square
175,9.363961031,9.899494937,place-bcnfd,place-bcnfd,Beaconsfield
166,9.242640687,14.02081528,place-bckhl,place-bckhl,Back of the Hill
138,4.949747468,9.535533906,place-bbsta,place-bbsta,Back Bay
127,8.656854249,0.707106781,place-babck,place-babck,Babcock Street
73,7.071067812,14.82842712,place-asmnl,place-asmnl,Ashmont
61,16.60660172,5.656854249,place-armnl,place-armnl,Arlington
52,8.485281374,7.414213562,place-aqucl,place-aqucl,Aquarium
37,10.19238816,6.707106781,place-aport,place-aport,Airport
21,7.778174593,10.12132034,place-andrw,place-andrw,Andrew
11,5.242640687,0.707106781,place-alsgr,place-alsgr,Allston Street
2,0.828427125,3.171572875,place-alfcl,place-alfcl,Alewife
1212,14.19238816,9.071067812,place-nuniv,81317,360 Huntington Ave
1704,7.778174593,8.121320344,place-sstat,74617,South Station Silver Line - Inbound
1703,7.778174593,8.121320344,place-sstat,74611,South Station Silver Line - Outbound
251,6.363961031,5.292893219,place-bomnl,70838,Bowdoin - Outbound
72,7.071067812,14.82842712,place-asmnl,70261,Ashmont - Mattapan Line
800,8.535533906,14.72792206,place-hsmnl,70260,Heath Street
165,9.242640687,14.02081528,place-bckhl,70258,Back of the Hill - Inbound
164,9.242640687,14.02081528,place-bckhl,70257,Back of the Hill - Outbound
1630,9.949747468,13.3137085,place-rvrwy,70256,Riverway - Inbound
1629,9.949747468,13.3137085,place-rvrwy,70255,Riverway - Outbound
1057,10.65685425,12.60660172,place-mispk,70254,Mission Park - Inbound
1056,10.65685425,12.60660172,place-mispk,70253,Mission Park - Outbound
600,11.36396103,11.89949494,place-fenwd,70252,Fenwood Road - Inbound
599,11.36396103,11.89949494,place-fenwd,70251,Fenwood Road - Outbound
309,12.07106781,11.19238816,place-brmnl,70250,Brigham Circle - Inbound
308,12.07106781,11.19238816,place-brmnl,70249,Brigham Circle - Outbound
971,12.77817459,10.48528137,place-lngmd,70248,Longwood Medical Area - Inbound
970,12.77817459,10.48528137,place-lngmd,70247,Longwood Medical Area - Outbound
1039,13.48528137,9.778174593,place-mfa,70246,Museum of Fine Arts - Inbound
1038,13.48528137,9.778174593,place-mfa,70245,Museum of Fine Arts - Outbound
1211,14.19238816,9.071067812,place-nuniv,70244,Northeastern - Inbound
1210,14.19238816,9.071067812,place-nuniv,70243,Northeastern - Outbound
1829,14.89949494,8.363961031,place-symcl,70242,Symphony - Inbound
1828,14.89949494,8.363961031,place-symcl,70241,Symphony - Outbound
1385,14.89949494,6.363961031,place-prmnl,70240,Prudential - Inbound
1384,14.89949494,6.363961031,place-prmnl,70239,Prudential - Outbound
456,2.535533906,9.899494937,place-clmnl,70238,Cleveland Circle - Inbound
455,2.535533906,9.899494937,place-clmnl,70237,Cleveland Circle - Outbound
