origin_id,origin_name,origin_lat,origin_lon,dest_id,dest_name,dest_lat,dest_long,line
70272,Valley Road - Inbound,42.268322,-71.081566,70078,Downtown Crossing - to Alewife,42.355518,-71.060225,Red
70274,Capen Street - Inbound,42.267712,-71.087753,70078,Downtown Crossing - to Alewife,42.355518,-71.060225,Red
70276,Mattapan - Inbound,42.267762,-71.092241,70078,Downtown Crossing - to Alewife,42.355518,-71.060225,Red
70096,JFK/UMASS Braintree - Inbound,42.320685,-71.052391,70078,Downtown Crossing - to Alewife,42.355518,-71.060225,Red
70098,North Quincy - Inbound,42.275275,-71.029583,70078,Downtown Crossing - to Alewife,42.355518,-71.060225,Red
70100,Wollaston - Inbound,42.2665139,-71.0203369,70078,Downtown Crossing - to Alewife,42.355518,-71.060225,Red
70102,Quincy Center - Inbound,42.251809,-71.005409,70078,Downtown Crossing - to Alewife,42.355518,-71.060225,Red
70104,Quincy Adams - Inbound,42.233391,-71.007153,70078,Downtown Crossing - to Alewife,42.355518,-71.060225,Red
70105,Braintree,42.2078543,-71.0011385,70078,Downtown Crossing - to Alewife,42.355518,-71.060225,Red
70106,Boston College - Inbound,42.340081,-71.166769,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70110,South Street - Inbound,42.3396,-71.157661,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70112,Chestnut Hill Avenue - Inbound,42.338169,-71.15316,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70114,Chiswick Road - Inbound,42.340805,-71.150711,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70116,Sutherland Road - Inbound,42.341614,-71.146202,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70120,Washington Street - Inbound,42.343864,-71.142853,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70124,Warren Street - Inbound,42.348343,-71.140457,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70126,Allston Street - Inbound,42.348701,-71.137955,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70128,Griggs Street - Inbound,42.348545,-71.134949,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70130,Harvard Avenue - Inbound,42.350243,-71.131355,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70134,Packards Corner - Inbound,42.351967,-71.125031,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70136,Babcock Street - Inbound,42.35182,-71.12165,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70138,Pleasant Street - Inbound,42.351521,-71.118889,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70140,Saint Paul Street - Inbound,42.3512,-71.116104,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70142,Boston Univ West - Inbound,42.350941,-71.113876,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70144,Boston Univ Central - Inbound,42.350082,-71.106865,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70146,Boston Univ East - Inbound,42.349735,-71.103889,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70148,Blandford Street - Inbound,42.349293,-71.100258,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70150,Kenmore - Inbound,42.348949,-71.095169,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70152,Hynes - Inbound,42.347888,-71.087903,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70154,Copley - Inbound,42.349974,-71.077447,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70156,Arlington - Inbound,42.351902,-71.070893,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70158,Boylston - Inbound,42.35302,-71.06459,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70160,Riverside - Inbound,42.337059,-71.251742,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70162,Woodland - Inbound,42.333374,-71.244301,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70164,Waban - Inbound,42.325943,-71.230728,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70166,Eliot - Inbound,42.319023,-71.216713,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70168,Newton Highlands - Inbound,42.321735,-71.206116,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70170,Newton Centre - Inbound,42.329391,-71.192429,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
