,arr_dt,benchmark_travel_time_sec,dep_dt,dest_id,direction,origin_id,route_id,threshold_flag_1,threshold_flag_2,threshold_flag_3,travel_time_sec
87,1514471699,60,1514471661,70057,0,70060,Blue,,,,38
88,1514472241,60,1514472202,70057,0,70060,Blue,,,,39
89,1514472829,60,1514472793,70057,0,70060,Blue,,,,36
90,1514473347,60,1514473311,70057,0,70060,Blue,,,,36
91,1514473788,60,1514473753,70057,0,70060,Blue,,,,35
92,1514474344,60,1514474309,70057,0,70060,Blue,,,,35
93,1514474815,60,1514474779,70057,0,70060,Blue,,,,36
94,1514475384,60,1514475343,70057,0,70060,Blue,,,,41
95,1514475895,60,1514475857,70057,0,70060,Blue,,,,38
96,1514476366,60,1514476330,70057,0,70060,Blue,,,,36
97,1514476920,60,1514476886,70057,0,70060,Blue,,,,34
98,1514477464,60,1514477428,70057,0,70060,Blue,,,,36
99,1514477934,60,1514477899,70057,0,70060,Blue,,,,35
100,1514478480,60,1514478442,70057,0,70060,Blue,,,,38
101,1514479013,60,1514478978,70057,0,70060,Blue,,,,35
102,1514479493,60,1514479457,70057,0,70060,Blue,,,,36
103,1514480029,60,1514479994,70057,0,70060,Blue,,,,35
104,1514480599,60,1514480564,70057,0,70060,Blue,,,,35
105,1514481054,60,1514481017,70057,0,70060,Blue,,,,37
106,1514481583,60,1514481548,70057,0,70060,Blue,,,,35
107,1514482135,60,1514482099,70057,0,70060,Blue,,,,36
108,1514482613,60,1514482575,70057,0,70060,Blue,,,,38
109,1514483152,60,1514483114,70057,0,70060,Blue,,,,38
110,1514483691,60,1514483656,70057,0,70060,Blue,,,,35
111,1514484169,60,1514484134,70057,0,70060,Blue,,,,35
112,1514484705,60,1514484669,70057,0,70060,Blue,,,,36
113,1514485262,60,1514485222,70057,0,70060,Blue,,,,40
114,1514485734,60,1514485697,70057,0,70060,Blue,,,,37
115,1514486217,60,1514486179,70057,0,70060,Blue,,,,38
116,1514486691,60,1514486655,70057,0,70060,Blue,,,,36
117,1514486999,60,1514486963,70057,0,70060,Blue,,,,36
118,1514487424,60,1514487390,70057,0,70060,Blue,,,,34
119,1514487883,60,1514487848,70057,0,70060,Blue,,,,35
120,1514488622,60,1514488583,70057,0,70060,Blue,,,,39
121,1514488975,60,1514488939,70057,0,70060,Blue,,,,36
122,1514489451,60,1514489415,70057,0,70060,Blue,,,,36
123,1514489814,60,1514489778,70057,0,70060,Blue,,,,36
124,1514490119,60,1514490085,70057,0,70060,Blue,,,,34
125,1514490386,60,1514490352,70057,0,70060,Blue,,,,34
126,1514490707,60,1514490672,70057,0,70060,Blue,,,,35
127,1514490946,60,1514490911,70057,0,70060,Blue,,,,35
128,1514491508,60,1514491472,70057,0,70060,Blue,,,,36
129,1514491797,60,1514491759,70057,0,70060,Blue,,,,38
130,1514492156,60,1514492119,70057,0,70060,Blue,,,,37
131,1514492481,60,1514492443,70057,0,70060,Blue,,,,38
132,1514492787,60,1514492749,70057,0,70060,Blue,,,,38
133,1514493032,60,1514492990,70057,0,70060,Blue,,,,42
134,1514493175,60,1514493135,70057,0,70060,Blue,,,,40
135,1514493414,60,1514493377,70057,0,70060,Blue,,,,37
136,1514493715,60,1514493680,70057,0,70060,Blue,,,,35
137,1514493946,60,1514493911,70057,0,70060,Blue,,,,35
138,1514494247,60,1514494213,70057,0,70060,Blue,,,,34
139,1514494586,60,1514494551,70057,0,70060,Blue,,,,35
140,1514494794,60,1514494756,70057,0,70060,Blue,,,,38
141,1514495097,60,1514495056,70057,0,70060,Blue,,,,41
142,1514495392,60,1514495356,70057,0,70060,Blue,,,,36
143,1514495664,60,1514495628,70057,0,70060,Blue,,,,36
144,1514495933,60,1514495915,70057,0,70060,Blue,,,,18
145,1514496231,60,1514496196,70057,0,70060,Blue,,,,35
146,1514496535,60,1514496517,70057,0,70060,Blue,,,,18
147,1514496780,60,1514496741,70057,0,70060,Blue,,,,39
148,1514497080,60,1514497038,70057,0,70060,Blue,,,,42
149,1514497313,60,1514497278,70057,0,70060,Blue,,,,35
150,1514497707,60,1514497672,70057,0,70060,Blue,,,,35
151,1514497858,60,1514497821,70057,0,70060,Blue,,,,37
152,1514498156,60,1514498118,70057,0,70060,Blue,,,,38
153,1514498395,60,1514498359,70057,0,70060,Blue,,,,36
154,1514498691,60,1514498655,70057,0,70060,Blue,,,,36
155,1514498949,60,1514498911,70057,0,70060,Blue,,,,38
156,1514499232,60,1514499197,70057,0,70060,Blue,,,,35
157,1514499473,60,1514499438,70057,0,70060,Blue,,,,35
158,1514499775,60,1514499737,70057,0,70060,Blue,,,,38
159,1514500052,60,1514500014,70057,0,70060,Blue,,,,38
160,1514500338,60,1514500302,70057,0,70060,Blue,,,,36
161,1514500590,60,1514500574,70057,0,70060,Blue,,,,16
162,1514500852,60,1514500815,70057,0,70060,Blue,,,,37
163,1514501101,60,1514501061,70057,0,70060,Blue,,,,40
164,1514501393,60,1514501357,70057,0,70060,Blue,,,,36
165,1514501631,60,1514501615,70057,0,70060,Blue,,,,16
166,1514501998,60,1514501962,70057,0,70060,Blue,,,,36
167,1514502501,60,1514502456,70057,0,70060,Blue,,,,45
