"","origin_name","dest_name","dep_time_by15.x","origin_id","dest_id","route_id","benchmark_travel_time_sec","orig_name_old","dest_name_old","link","avg_pct_benchmark"
"28","Boston University East - Green Line - Park Street & North","Blandford Street - Green Line - Park Street & North","2017-12-28 08:29:00",70146,70148,"Green-B",120,"place-buest","place-bland","place-buest|place-bland",0.5
"29","Boston University West - Green Line - (B) Boston College","Saint Paul Street - Green Line - (B) Boston College","2017-12-28 08:29:00",70143,70141,"Green-B",60,"place-buwst","place-stplb","place-buwst|place-stplb",0.1
"30","Boston University West - Green Line - Park Street & North","Boston University Central - Green Line - Park Street & North","2017-12-28 08:29:00",70142,70144,"Green-B",240,"place-buwst","place-bucen","place-buwst|place-bucen",0.377083333333333
"31","Bowdoin - Blue Line - Wonderland","Government Center - Blue Line - Wonderland","2017-12-28 08:29:00",70038,70040,"Blue",60,"place-bomnl","place-gover","place-bomnl|place-gover",0.283333333333333
"32","Boylston - Green Line - Copley & West","Arlington - Green Line - Copley & West","2017-12-28 08:29:00",70159,70157,"Green-B",120,"place-boyls","place-armnl","place-boyls|place-armnl",0.783333333333333
"33","Boylston - Green Line - Park Street & North","Park Street - Green Line - Government Center & North","2017-12-28 08:29:00",70158,70200,"Green-E",120,"place-boyls","place-pktrm","place-boyls|place-pktrm",0.478703703703704
"34","Brandon Hall - Green Line - (C) Cleveland Circle","Fairbanks Street - Green Line - (C) Cleveland Circle","2017-12-28 08:29:00",70225,70227,"Green-C",60,"place-bndhl","place-fbkst","place-bndhl|place-fbkst",0.25
"35","Brandon Hall - Green Line - Park Street & North","Summit Avenue - Green Line - Park Street & North","2017-12-28 08:29:00",70226,70224,"Green-C",120,"place-bndhl","place-sumav","place-bndhl|place-sumav",0.2
"36","Brigham Circle - Green Line - (E) Heath Street","Fenwood Road - Green Line - (E) Heath Street","2017-12-28 08:29:00",70249,70251,"Green-E",60,"place-brmnl","place-fenwd","place-brmnl|place-fenwd",0.2
"37","Brigham Circle - Green Line - Park Street & North","Longwood Medical Area - Green Line - Park Street & North","2017-12-28 08:29:00",70250,70248,"Green-E",180,"place-brmnl","place-lngmd","place-brmnl|place-lngmd",0.283333333333333
