"","from_stop","to_stop","from.stop.code","from.stop.name","from.stop.desc","from.parent.stat","to.stop.code","to.stop.name","to.stop.desc","to.parent.stat"
"39",70045,70043,70045,"Maverick","Maverick - Blue Line - Bowdoin","place-mvbcl",70043,"Aquarium","Aquarium - Blue Line - Bowdoin","place-aqucl"
"40",70042,70044,70042,"State Street","State Street - Blue Line - Wonderland","place-state",70044,"Aquarium","Aquarium - Blue Line - Wonderland","place-aqucl"
"41",70047,70045,70047,"Airport","Airport - Blue Line - Bowdoin","place-aport",70045,"Maverick","Maverick - Blue Line - Bowdoin","place-mvbcl"
"42",70044,70046,70044,"Aquarium","Aquarium - Blue Line - Wonderland","place-aqucl",70046,"Maverick","Maverick - Blue Line - Wonderland","place-mvbcl"
"43",70049,70047,70049,"Wood Island","Wood Island - Blue Line - Bowdoin","place-wimnl",70047,"Airport","Airport - Blue Line - Bowdoin","place-aport"
"44",70046,70048,70046,"Maverick","Maverick - Blue Line - Wonderland","place-mvbcl",70048,"Airport","Airport - Blue Line - Wonderland","place-aport"
"45",70051,70049,70051,"Orient Heights","Orient Heights - Blue Line - Bowdoin","place-orhte",70049,"Wood Island","Wood Island - Blue Line - Bowdoin","place-wimnl"
"46",70048,70050,70048,"Airport","Airport - Blue Line - Wonderland","place-aport",70050,"Wood Island","Wood Island - Blue Line - Wonderland","place-wimnl"
"47",70053,70051,70053,"Suffolk Downs","Suffolk Downs - Blue Line - Bowdoin","place-sdmnl",70051,"Orient Heights","Orient Heights - Blue Line - Bowdoin","place-orhte"
"48",70050,70052,70050,"Wood Island","Wood Island - Blue Line - Wonderland","place-wimnl",70052,"Orient Heights","Orient Heights - Blue Line - Wonderland","place-orhte"
"49",70055,70053,70055,"Beachmont","Beachmont - Blue Line - Bowdoin","place-bmmnl",70053,"Suffolk Downs","Suffolk Downs - Blue Line - Bowdoin","place-sdmnl"
"50",70052,70054,70052,"Orient Heights","Orient Heights - Blue Line - Wonderland","place-orhte",70054,"Suffolk Downs","Suffolk Downs - Blue Line - Wonderland","place-sdmnl"
"51",70057,70055,70057,"Revere Beach","Revere Beach - Blue Line - Bowdoin","place-rbmnl",70055,"Beachmont","Beachmont - Blue Line - Bowdoin","place-bmmnl"
"52",70054,70056,70054,"Suffolk Downs","Suffolk Downs - Blue Line - Wonderland","place-sdmnl",70056,"Beachmont","Beachmont - Blue Line - Wonderland","place-bmmnl"
"53",70059,70057,70059,"Wonderland","Wonderland - Blue Line - Bowdoin","place-wondl",70057,"Revere Beach","Revere Beach - Blue Line - Bowdoin","place-rbmnl"
"54",70056,70058,70056,"Beachmont","Beachmont - Blue Line - Wonderland","place-bmmnl",70058,"Revere Beach","Revere Beach - Blue Line - Wonderland","place-rbmnl"
"55",70058,70060,70058,"Revere Beach","Revere Beach - Blue Line - Wonderland","place-rbmnl",70060,"Wonderland","Wonderland - Blue Line - Exit Only","place-wondl"
"56",70061,70063,70061,"Alewife","Alewife - Red Line","place-alfcl",70063,"Davis","Davis - Red Line - Ashmont/Braintree","place-davis"
"57",70066,70064,70066,"Porter","Porter - Red Line - Alewife","place-portr",70064,"Davis","Davis - Red Line - Alewife","place-davis"
"58",70063,70065,70063,"Davis","Davis - Red Line - Ashmont/Braintree","place-davis",70065,"Porter","Porter - Red Line - Ashmont/Braintree","place-portr"
"59",70068,70066,70068,"Harvard","Harvard - Red Line - Alewife","place-harsq",70066,"Porter","Porter - Red Line - Alewife","place-portr"
"60",70065,70067,70065,"Porter","Porter - Red Line - Ashmont/Braintree","place-portr",70067,"Harvard","Harvard - Red Line - Ashmont/Braintree","place-harsq"
"61",70070,70068,70070,"Central","Central - Red Line - Alewife","place-cntsq",70068,"Harvard","Harvard - Red Line - Alewife","place-harsq"
"62",70067,70069,70067,"Harvard","Harvard - Red Line - Ashmont/Braintree","place-harsq",70069,"Central","Central - Red Line - Ashmont/Braintree","place-cntsq"
"63",70072,70070,70072,"Kendall/MIT","Kendall/MIT - Red Line - Alewife","place-knncl",70070,"Central","Central - Red Line - Alewife","place-cntsq"
"64",70069,70071,70069,"Central","Central - Red Line - Ashmont/Braintree","place-cntsq",70071,"Kendall/MIT","Kendall/MIT - Red Line - Ashmont/Braintree","place-knncl"
"65",70074,70072,70074,"Charles/MGH","Charles/MGH - Red Line - Alewife","place-chmnl",70072,"Kendall/MIT","Kendall/MIT - Red Line - Alewife","place-knncl"
"66",70071,70073,70071,"Kendall/MIT","Kendall/MIT - Red Line - Ashmont/Braintree","place-knncl",70073,"Charles/MGH","Charles/MGH - Red Line - Ashmont/Braintree","place-chmnl"
