"","from_stop","to_stop","from.stop.code","from.stop.name","from.stop.desc","from.parent.stat","to.stop.code","to.stop.name","to.stop.desc","to.parent.stat"
"168",70202,70198,70202,"Government Center","Government Center - Green Line - Copley & West","place-gover",70198,"Park Street","Park Street - Green Line - (D) Riverside","place-pktrm"
"169",70202,70199,70202,"Government Center","Government Center - Green Line - Copley & West","place-gover",70199,"Park Street","Park Street - Green Line - (E) Heath Street","place-pktrm"
"170",70158,70200,70158,"Boylston","Boylston - Green Line - Park Street & North","place-boyls",70200,"Park Street","Park Street - Green Line - Government Center & North","place-pktrm"
"171",70200,70201,70200,"Park Street","Park Street - Green Line - Government Center & North","place-pktrm",70201,"Government Center","Government Center - Green Line - North Station & North","place-gover"
"172",70204,70202,70204,"Haymarket","Haymarket - Green Line - Copley & West","place-haecl",70202,"Government Center","Government Center - Green Line - Copley & West","place-gover"
"173",70201,70203,70201,"Government Center","Government Center - Green Line - North Station & North","place-gover",70203,"Haymarket","Haymarket - Green Line - North Station & North","place-haecl"
"174",70206,70204,70206,"North Station","North Station - Green Line - Copley & West","place-north",70204,"Haymarket","Haymarket - Green Line - Copley & West","place-haecl"
"175",70203,70205,70203,"Haymarket","Haymarket - Green Line - North Station & North","place-haecl",70205,"North Station","North Station - Green Line - Lechmere","place-north"
"176",70208,70206,70208,"Science Park","Science Park - Green Line - Copley & West","place-spmnl",70206,"North Station","North Station - Green Line - Copley & West","place-north"
"177",70205,70207,70205,"North Station","North Station - Green Line - Lechmere","place-north",70207,"Science Park","Science Park - Green Line - Lechmere","place-spmnl"
"178",70210,70208,70210,"Lechmere","Lechmere - Green Line - Copley & West","place-lech",70208,"Science Park","Science Park - Green Line - Copley & West","place-spmnl"
"179",70207,70209,70207,"Science Park","Science Park - Green Line - Lechmere","place-spmnl",70209,"Lechmere","Lechmere - Green Line - Exit Only","place-lech"
"180",70151,70211,70151,"Kenmore","Kenmore - Green Line - Boston College/Cleveland Circle/Riverside","place-kencl",70211,"Saint Marys Street","Saint Marys Street - Green Line - (C) Cleveland Circle","place-smary"
"181",70214,70212,70214,"Hawes Street","Hawes Street - Green Line - Park Street & North","place-hwsst",70212,"Saint Marys Street","Saint Marys Street - Green Line - Park Street & North","place-smary"
"182",70211,70213,70211,"Saint Marys Street","Saint Marys Street - Green Line - (C) Cleveland Circle","place-smary",70213,"Hawes Street","Hawes Street - Green Line - (C) Cleveland Circle","place-hwsst"
"183",70216,70214,70216,"Kent Street","Kent Street - Green Line - Park Street & North","place-kntst",70214,"Hawes Street","Hawes Street - Green Line - Park Street & North","place-hwsst"
"184",70213,70215,70213,"Hawes Street","Hawes Street - Green Line - (C) Cleveland Circle","place-hwsst",70215,"Kent Street","Kent Street - Green Line - (C) Cleveland Circle","place-kntst"
"185",70218,70216,70218,"Saint Paul Street","Saint Paul Street - Green Line - Park Street & North","place-stpul",70216,"Kent Street","Kent Street - Green Line - Park Street & North","place-kntst"
"186",70215,70217,70215,"Kent Street","Kent Street - Green Line - (C) Cleveland Circle","place-kntst",70217,"Saint Paul Street","Saint Paul Street - Green Line - (C) Cleveland Circle","place-stpul"
"187",70220,70218,70220,"Coolidge Corner","Coolidge Corner - Green Line - Park Street & North","place-cool",70218,"Saint Paul Street","Saint Paul Street - Green Line - Park Street & North","place-stpul"
"188",70217,70219,70217,"Saint Paul Street","Saint Paul Street - Green Line - (C) Cleveland Circle","place-stpul",70219,"Coolidge Corner","Coolidge Corner - Green Line - (C) Cleveland Circle","place-cool"
"189",70226,70224,70226,"Brandon Hall","Brandon Hall - Green Line - Park Street & North","place-bndhl",70224,"Summit Avenue","Summit Avenue - Green Line - Park Street & North","place-sumav"
"190",70223,70225,70223,"Summit Avenue","Summit Avenue - Green Line - (C) Cleveland Circle","place-sumav",70225,"Brandon Hall","Brandon Hall - Green Line - (C) Cleveland Circle","place-bndhl"
"191",70228,70226,70228,"Fairbanks Street","Fairbanks Street - Green Line - Park Street & North","place-fbkst",70226,"Brandon Hall","Brandon Hall - Green Line - Park Street & North","place-bndhl"
"192",70225,70227,70225,"Brandon Hall","Brandon Hall - Green Line - (C) Cleveland Circle","place-bndhl",70227,"Fairbanks Street","Fairbanks Street - Green Line - (C) Cleveland Circle","place-fbkst"
"193",70230,70228,70230,"Washington Square","Washington Square - Green Line - Park Street & North","place-bcnwa",70228,"Fairbanks Street","Fairbanks Street - Green Line - Park Street & North","place-fbkst"
"194",70227,70229,70227,"Fairbanks Street","Fairbanks Street - Green Line - (C) Cleveland Circle","place-fbkst",70229,"Washington Square","Washington Square - Green Line - (C) Cleveland Circle","place-bcnwa"
"195",70232,70230,70232,"Tappan Street","Tappan Street - Green Line - Park Street & North","place-tapst",70230,"Washington Square","Washington Square - Green Line - Park Street & North","place-bcnwa"
"196",70229,70231,70229,"Washington Square","Washington Square - Green Line - (C) Cleveland Circle","place-bcnwa",70231,"Tappan Street","Tappan Street - Green Line - (C) Cleveland Circle","place-tapst"
"197",70234,70232,70234,"Dean Road","Dean Road - Green Line - Park Street & North","place-denrd",70232,"Tappan Street","Tappan Street - Green Line - Park Street & North","place-tapst"
"198",70231,70233,70231,"Tappan Street","Tappan Street - Green Line - (C) Cleveland Circle","place-tapst",70233,"Dean Road","Dean Road - Green Line - (C) Cleveland Circle","place-denrd"
"199",70236,70234,70236,"Englewood Avenue","Englewood Avenue - Green Line - Park Street & North","place-engav",70234,"Dean Road","Dean Road - Green Line - Park Street & North","place-denrd"
"200",70233,70235,70233,"Dean Road","Dean Road - Green Line - (C) Cleveland Circle","place-denrd",70235,"Englewood Avenue","Englewood Avenue - Green Line - (C) Cleveland Circle","place-engav"
"201",70238,70236,70238,"Cleveland Circle","Cleveland Circle - Green Line - Park Street & North","place-clmnl",70236,"Englewood Avenue","Englewood Avenue - Green Line - Park Street & North","place-engav"
"202",70235,70237,70235,"Englewood Avenue","Englewood Avenue - Green Line - (C) Cleveland Circle","place-engav",70237,"Cleveland Circle","Cleveland Circle - Green Line - Exit Only","place-clmnl"
"203",70155,70239,70155,"Copley","Copley - Green Line - Kenmore & West/Heath Street","place-coecl",70239,"Prudential","Prudential - Green Line - (E) Heath Street","place-prmnl"
"204",70242,70240,70242,"Symphony","Symphony - Green Line - Park Street & North","place-symcl",70240,"Prudential","Prudential - Green Line - Park Street & North","place-prmnl"
"205",70239,70241,70239,"Prudential","Prudential - Green Line - (E) Heath Street","place-prmnl",70241,"Symphony","Symphony - Green Line - (E) Heath Street","place-symcl"
"206",70244,70242,70244,"Northeastern University","Northeastern University - Green Line - Park Street & North","place-nuniv",70242,"Symphony","Symphony - Green Line - Park Street & North","place-symcl"
"207",70241,70243,70241,"Symphony","Symphony - Green Line - (E) Heath Street","place-symcl",70243,"Northeastern University","Northeastern University - Green Line - (E) Heath Street","place-nuniv"
"208",70246,70244,70246,"Museum of Fine Arts","Museum of Fine Arts - Green Line - Park Street & North","place-mfa",70244,"Northeastern University","Northeastern University - Green Line - Park Street & North","place-nuniv"
"209",70243,70245,70243,"Northeastern University","Northeastern University - Green Line - (E) Heath Street","place-nuniv",70245,"Museum of Fine Arts","Museum of Fine Arts - Green Line - (E) Heath Street","place-mfa"
"210",70248,70246,70248,"Longwood Medical Area","Longwood Medical Area - Green Line - Park Street & North","place-lngmd",70246,"Museum of Fine Arts","Museum of Fine Arts - Green Line - Park Street & North","place-mfa"
"211",70245,70247,70245,"Museum of Fine Arts","Museum of Fine Arts - Green Line - (E) Heath Street","place-mfa",70247,"Longwood Medical Area","Longwood Medical Area - Green Line - (E) Heath Street","place-lngmd"
"212",70250,70248,70250,"Brigham Circle","Brigham Circle - Green Line - Park Street & North","place-brmnl",70248,"Longwood Medical Area","Longwood Medical Area - Green Line - Park Street & North","place-lngmd"
"213",70247,70249,70247,"Longwood Medical Area","Longwood Medical Area - Green Line - (E) Heath Street","place-lngmd",70249,"Brigham Circle","Brigham Circle - Green Line - (E) Heath Street","place-brmnl"
"214",70252,70250,70252,"Fenwood Road","Fenwood Road - Green Line - Park Street & North","place-fenwd",70250,"Brigham Circle","Brigham Circle - Green Line - Park Street & North","place-brmnl"
"215",70249,70251,70249,"Brigham Circle","Brigham Circle - Green Line - (E) Heath Street","place-brmnl",70251,"Fenwood Road","Fenwood Road - Green Line - (E) Heath Street","place-fenwd"
"216",70254,70252,70254,"Mission Park","Mission Park - Green Line - Park Street & North","place-mispk",70252,"Fenwood Road","Fenwood Road - Green Line - Park Street & North","place-fenwd"
"217",70251,70253,70251,"Fenwood Road","Fenwood Road - Green Line - (E) Heath Street","place-fenwd",70253,"Mission Park","Mission Park - Green Line - (E) Heath Street","place-mispk"
"218",70256,70254,70256,"Riverway","Riverway - Green Line - Park Street & North","place-rvrwy",70254,"Mission Park","Mission Park - Green Line - Park Street & North","place-mispk"
"219",70253,70255,70253,"Mission Park","Mission Park - Green Line - (E) Heath Street","place-mispk",70255,"Riverway","Riverway - Green Line - (E) Heath Street","place-rvrwy"
"220",70258,70256,70258,"Back of the Hill","Back of the Hill - Green Line - Park Street & North","place-bckhl",70256,"Riverway","Riverway - Green Line - Park Street & North","place-rvrwy"
"221",70255,70257,70255,"Riverway","Riverway - Green Line - (E) Heath Street","place-rvrwy",70257,"Back of the Hill","Back of the Hill - Green Line - (E) Heath Street","place-bckhl"
"222",70260,70258,70260,"Heath Street","Heath Street - Green Line","place-hsmnl",70258,"Back of the Hill","Back of the Hill - Green Line - Park Street & North","place-bckhl"
"223",70032,70278,70032,"Wellington","Wellington - Orange Line - Forest Hills","place-welln",70278,"Assembly","Assembly - Orange Line - Forest Hills","place-astao"
"224",70031,70279,70031,"Sullivan Square","Sullivan Square - Orange Line - Oak Grove","place-sull",70279,"Assembly","Assembly - Orange Line - Oak Grove","place-astao"
