from_stop,to_stop,Line
70174,70176,Green Line - D Branch - toward Park/Lechmere
70176,70178,Green Line - D Branch - toward Park/Lechmere
70178,70180,Green Line - D Branch - toward Park/Lechmere
70180,70182,Green Line - D Branch - toward Park/Lechmere
70182,70184,Green Line - D Branch - toward Park/Lechmere
70184,70186,Green Line - D Branch - toward Park/Lechmere
70187,70185,Green Line - D Branch - toward Riverside
70185,70183,Green Line - D Branch - toward Riverside
70183,70181,Green Line - D Branch - toward Riverside
70181,70179,Green Line - D Branch - toward Riverside
70179,70177,Green Line - D Branch - toward Riverside
70177,70175,Green Line - D Branch - toward Riverside
70175,70173,Green Line - D Branch - toward Riverside
70173,70171,Green Line - D Branch - toward Riverside
70171,70169,Green Line - D Branch - toward Riverside
70169,70167,Green Line - D Branch - toward Riverside
70167,70165,Green Line - D Branch - toward Riverside
70165,70163,Green Line - D Branch - toward Riverside
70163,70161,Green Line - D Branch - toward Riverside
70211,70213,Green Line - C Branch - toward Cleveland Circle
70213,70215,Green Line - C Branch - toward Cleveland Circle
70215,70217,Green Line - C Branch - toward Cleveland Circle
70217,70219,Green Line - C Branch - toward Cleveland Circle
70219,70221,Green Line - C Branch - toward Cleveland Circle
70221,70223,Green Line - C Branch - toward Cleveland Circle
70223,70225,Green Line - C Branch - toward Cleveland Circle
70225,70227,Green Line - C Branch - toward Cleveland Circle
70227,70229,Green Line - C Branch - toward Cleveland Circle
70229,70231,Green Line - C Branch - toward Cleveland Circle
70231,70233,Green Line - C Branch - toward Cleveland Circle
70233,70235,Green Line - C Branch - toward Cleveland Circle
70235,70237,Green Line - C Branch - toward Cleveland Circle
70238,70236,Green Line - C Branch - toward Park/Lechmere
70236,70234,Green Line - C Branch - toward Park/Lechmere
70234,70232,Green Line - C Branch - toward Park/Lechmere
70232,70230,Green Line - C Branch - toward Park/Lechmere
70230,70228,Green Line - C Branch - toward Park/Lechmere
70228,70226,Green Line - C Branch - toward Park/Lechmere
70226,70224,Green Line - C Branch - toward Park/Lechmere
70224,70222,Green Line - C Branch - toward Park/Lechmere
70222,70220,Green Line - C Branch - toward Park/Lechmere
70220,70218,Green Line - C Branch - toward Park/Lechmere
70218,70216,Green Line - C Branch - toward Park/Lechmere
70216,70214,Green Line - C Branch - toward Park/Lechmere
70214,70212,Green Line - C Branch - toward Park/Lechmere
70239,70241,Green Line - E Branch - toward Heath
70241,70243,Green Line - E Branch - toward Heath
