,stop_id_old,stop_code_old,stop_name_old,stop_desc_old,stop_lat,stop_lon,zone_id_old,stop_url_old,location_type_old,parent_station_old,wheelchair_boarding_old,stop_id_new,stop_code_new,stop_name_new,stop_desc_new,zone_id_new,stop_url_new,location_type_new,parent_station_new,wheelchair_boarding_new
39,70047,70047.0,Airport - Inbound,,42.374262,-71.030395,,,0.0,place-aport,0.0,70048,70048.0,Airport - Outbound,,,,0.0,place-aport,1.0
40,70047,70047.0,Airport - Inbound,,42.374262,-71.030395,,,0.0,place-aport,0.0,7096,7096.0,Airport Station Busway,,,,0.0,place-aport,1.0
41,70047,70047.0,Airport - Inbound,,42.374262,-71.030395,,,0.0,place-aport,0.0,place-aport,,Airport,,,,1.0,,1.0
42,70048,70048.0,Airport - Outbound,,42.374262,-71.030395,,,0.0,place-aport,0.0,70047,70047.0,Airport - Inbound,,,,0.0,place-aport,1.0
43,70048,70048.0,Airport - Outbound,,42.374262,-71.030395,,,0.0,place-aport,0.0,70048,70048.0,Airport - Outbound,,,,0.0,place-aport,1.0
44,70048,70048.0,Airport - Outbound,,42.374262,-71.030395,,,0.0,place-aport,0.0,7096,7096.0,Airport Station Busway,,,,0.0,place-aport,1.0
45,70048,70048.0,Airport - Outbound,,42.374262,-71.030395,,,0.0,place-aport,0.0,place-aport,,Airport,,,,1.0,,1.0
46,7096,7096.0,Airport Station Busway,,42.374262,-71.030395,,,0.0,place-aport,0.0,70047,70047.0,Airport - Inbound,,,,0.0,place-aport,1.0
47,7096,7096.0,Airport Station Busway,,42.374262,-71.030395,,,0.0,place-aport,0.0,70048,70048.0,Airport - Outbound,,,,0.0,place-aport,1.0
48,7096,7096.0,Airport Station Busway,,42.374262,-71.030395,,,0.0,place-aport,0.0,7096,7096.0,Airport Station Busway,,,,0.0,place-aport,1.0
49,7096,7096.0,Airport Station Busway,,42.374262,-71.030395,,,0.0,place-aport,0.0,place-aport,,Airport,,,,1.0,,1.0
50,place-aqucl,,Aquarium,,42.359784000000005,-71.051652,,,1.0,,1.0,70043,70043.0,Aquarium - Inbound,,,,0.0,place-aqucl,1.0
51,place-aqucl,,Aquarium,,42.359784000000005,-71.051652,,,1.0,,1.0,70044,70044.0,Aquarium - Outbound,,,,0.0,place-aqucl,1.0
52,place-aqucl,,Aquarium,,42.359784000000005,-71.051652,,,1.0,,1.0,place-aqucl,,Aquarium,,,,1.0,,1.0
53,70043,70043.0,Aquarium - Inbound,,42.359784000000005,-71.051652,,,0.0,place-aqucl,0.0,70043,70043.0,Aquarium - Inbound,,,,0.0,place-aqucl,1.0
54,70043,70043.0,Aquarium - Inbound,,42.359784000000005,-71.051652,,,0.0,place-aqucl,0.0,70044,70044.0,Aquarium - Outbound,,,,0.0,place-aqucl,1.0
55,70043,70043.0,Aquarium - Inbound,,42.359784000000005,-71.051652,,,0.0,place-aqucl,0.0,place-aqucl,,Aquarium,,,,1.0,,1.0
56,70044,70044.0,Aquarium - Outbound,,42.359784000000005,-71.051652,,,0.0,place-aqucl,0.0,70043,70043.0,Aquarium - Inbound,,,,0.0,place-aqucl,1.0
