key,value,date
Green-C,0.47,12/28/17 12:59
Green-C,0.52,12/28/17 13:14
Green-C,0.51,12/28/17 13:29
Green-C,0.49,12/28/17 13:44
Green-C,0.43,12/28/17 13:59
Green-C,0.55,12/28/17 14:14
Green-C,0.49,12/28/17 14:29
Green-C,0.53,12/28/17 14:44
Green-C,0.53,12/28/17 14:59
Green-C,0.48,12/28/17 15:14
Green-C,0.53,12/28/17 15:29
Green-C,0.48,12/28/17 15:44
Green-C,0.49,12/28/17 15:59
Green-C,0.43,12/28/17 16:14
Green-C,0.46,12/28/17 16:29
Green-C,0.42,12/28/17 16:44
Green-C,0.44,12/28/17 16:59
Green-C,0.46,12/28/17 17:14
Green-C,0.48,12/28/17 17:29
Green-C,0.47,12/28/17 17:44
Green-C,0.51,12/28/17 17:59
Green-C,0.50,12/28/17 18:14
Green-C,0.45,12/28/17 18:29
Green-C,0.47,12/28/17 18:44
Green-C,0.48,12/28/17 18:59
Green-C,0.50,12/28/17 19:14
Green-C,0.50,12/28/17 19:29
Green-C,0.47,12/28/17 19:44
Green-C,0.54,12/28/17 19:59
Green-C,0.60,12/28/17 20:14
Green-C,0.54,12/28/17 20:29
Green-C,0.53,12/28/17 20:44
Green-C,0.49,12/28/17 20:59
Green-C,0.58,12/28/17 21:14
Green-C,0.54,12/28/17 21:29
Green-C,0.52,12/28/17 21:44
Green-C,0.53,12/28/17 21:59
Green-C,0.51,12/28/17 22:14
Green-C,0.52,12/28/17 22:29
Green-C,0.52,12/28/17 22:44
Green-C,0.58,12/28/17 22:59
Green-C,0.52,12/28/17 23:14
Green-C,0.48,12/28/17 23:29
Green-C,0.61,12/28/17 23:44
Green-D,0.76,12/28/17 5:14
Green-D,0.68,12/28/17 5:29
Green-D,0.66,12/28/17 5:44
Green-D,0.62,12/28/17 5:59
Green-D,0.66,12/28/17 6:14
Green-D,0.72,12/28/17 6:29
Green-D,0.71,12/28/17 6:44
Green-D,0.62,12/28/17 6:59
Green-D,0.65,12/28/17 7:14
Green-D,0.88,12/28/17 7:29
Green-D,0.63,12/28/17 7:44
Green-D,0.68,12/28/17 7:59
Green-D,0.68,12/28/17 8:14
Green-D,0.67,12/28/17 8:29
Green-D,0.62,12/28/17 8:44
Green-D,0.64,12/28/17 8:59
Green-D,0.66,12/28/17 9:14
Green-D,0.58,12/28/17 9:29
Green-D,0.63,12/28/17 9:44
Green-D,0.64,12/28/17 9:59
Green-D,0.61,12/28/17 10:14
Green-D,0.59,12/28/17 10:29
Green-D,0.63,12/28/17 10:44
Green-D,0.58,12/28/17 10:59
Green-D,0.63,12/28/17 11:14
Green-D,0.66,12/28/17 11:29
Green-D,0.66,12/28/17 11:44
Green-D,0.63,12/28/17 11:59
Green-D,0.59,12/28/17 12:14
Green-D,0.63,12/28/17 12:29
Green-D,0.67,12/28/17 12:44
Green-D,0.81,12/28/17 12:59
Green-D,0.75,12/28/17 13:14
Green-D,0.62,12/28/17 13:29
Green-D,0.64,12/28/17 13:44
Green-D,0.61,12/28/17 13:59
Green-D,0.60,12/28/17 14:14
Green-D,0.63,12/28/17 14:29
Green-D,0.69,12/28/17 14:44
Green-D,0.65,12/28/17 14:59
Green-D,0.63,12/28/17 15:14
Green-D,0.61,12/28/17 15:29
Green-D,0.61,12/28/17 15:44
Green-D,0.60,12/28/17 15:59
Green-D,0.57,12/28/17 16:14
Green-D,0.57,12/28/17 16:29
Green-D,0.58,12/28/17 16:44
Green-D,0.58,12/28/17 16:59
Green-D,0.60,12/28/17 17:14
Green-D,0.60,12/28/17 17:29
Green-D,0.62,12/28/17 17:44
Green-D,0.61,12/28/17 17:59
Green-D,0.64,12/28/17 18:14
Green-D,0.63,12/28/17 18:29
Green-D,0.61,12/28/17 18:44
Green-D,0.59,12/28/17 18:59
Green-D,0.66,12/28/17 19:14
Green-D,0.65,12/28/17 19:29
Green-D,0.59,12/28/17 19:44
Green-D,0.63,12/28/17 19:59
Green-D,0.73,12/28/17 20:14
Green-D,0.74,12/28/17 20:29
Green-D,0.60,12/28/17 20:44
Green-D,0.62,12/28/17 20:59
Green-D,0.60,12/28/17 21:14
Green-D,0.61,12/28/17 21:29
Green-D,0.61,12/28/17 21:44
Green-D,0.67,12/28/17 21:59
Green-D,0.62,12/28/17 22:14
Green-D,0.62,12/28/17 22:29
Green-D,0.57,12/28/17 22:44
Green-D,0.64,12/28/17 22:59
Green-D,0.65,12/28/17 23:14
Green-D,0.62,12/28/17 23:29
Green-D,0.59,12/28/17 23:44
Green-E,0.70,12/28/17 5:14
Green-E,0.67,12/28/17 5:29
Green-E,0.72,12/28/17 5:44
Green-E,0.65,12/28/17 5:59
Green-E,0.57,12/28/17 6:14
Green-E,0.58,12/28/17 6:29
Green-E,0.67,12/28/17 6:44
Green-E,0.57,12/28/17 6:59
Green-E,0.57,12/28/17 7:14
Green-E,0.68,12/28/17 7:29
Green-E,0.54,12/28/17 7:44
Green-E,0.58,12/28/17 7:59
Green-E,0.65,12/28/17 8:14
Green-E,0.53,12/28/17 8:29
Green-E,0.54,12/28/17 8:44
Green-E,0.62,12/28/17 8:59
Green-E,0.66,12/28/17 9:14
Green-E,0.57,12/28/17 9:29
Green-E,0.51,12/28/17 9:44
Green-E,0.61,12/28/17 9:59
Green-E,0.56,12/28/17 10:14
Green-E,0.54,12/28/17 10:29
Green-E,0.53,12/28/17 10:44
Green-E,0.52,12/28/17 10:59
Green-E,0.50,12/28/17 11:14
Green-E,0.52,12/28/17 11:29
Green-E,0.51,12/28/17 11:44
Green-E,0.52,12/28/17 11:59
Green-E,0.48,12/28/17 12:14
Green-E,0.52,12/28/17 12:29
Green-E,0.50,12/28/17 12:44
Green-E,0.52,12/28/17 12:59
Green-E,0.60,12/28/17 13:14
Green-E,0.61,12/28/17 13:29
Green-E,0.55,12/28/17 13:44
Green-E,0.59,12/28/17 13:59
Green-E,0.56,12/28/17 14:14
Green-E,0.60,12/28/17 14:29
Green-E,0.66,12/28/17 14:44
Green-E,0.55,12/28/17 14:59
Green-E,0.56,12/28/17 15:14
Green-E,0.58,12/28/17 15:29
Green-E,0.51,12/28/17 15:44
Green-E,0.54,12/28/17 15:59
Green-E,0.49,12/28/17 16:14
Green-E,0.56,12/28/17 16:29
Green-E,0.49,12/28/17 16:44
Green-E,0.48,12/28/17 16:59
Green-E,0.49,12/28/17 17:14
Green-E,0.51,12/28/17 17:29
Green-E,0.55,12/28/17 17:44
Green-E,0.54,12/28/17 17:59
Green-E,0.50,12/28/17 18:14
Green-E,0.55,12/28/17 18:29
Green-E,0.50,12/28/17 18:44
Green-E,0.54,12/28/17 18:59
Green-E,0.51,12/28/17 19:14
Green-E,0.50,12/28/17 19:29
Green-E,0.54,12/28/17 19:44
Green-E,0.59,12/28/17 19:59
Green-E,0.54,12/28/17 20:14
Green-E,0.55,12/28/17 20:29
Green-E,0.62,12/28/17 20:44
Green-E,0.52,12/28/17 20:59
Green-E,0.57,12/28/17 21:14
Green-E,0.54,12/28/17 21:29
Green-E,0.57,12/28/17 21:44
Green-E,0.57,12/28/17 21:59
Green-E,0.56,12/28/17 22:14
Green-E,0.57,12/28/17 22:29
Green-E,0.62,12/28/17 22:44
Green-E,0.55,12/28/17 22:59
Green-E,0.55,12/28/17 23:14
Green-E,0.56,12/28/17 23:29
Green-E,0.54,12/28/17 23:44
Orange,0.83,12/28/17 5:14
Orange,0.65,12/28/17 5:29
Orange,0.61,12/28/17 5:44
Orange,0.60,12/28/17 5:59
Orange,0.61,12/28/17 6:14
Orange,0.65,12/28/17 6:29
Orange,0.65,12/28/17 6:44
Orange,0.58,12/28/17 6:59
Orange,0.58,12/28/17 7:14
Orange,0.62,12/28/17 7:29
Orange,0.55,12/28/17 7:44
Orange,0.61,12/28/17 7:59
Orange,0.54,12/28/17 8:14
Orange,0.74,12/28/17 8:29
Orange,0.61,12/28/17 8:44
Orange,0.57,12/28/17 8:59
Orange,0.58,12/28/17 9:14
Orange,0.63,12/28/17 9:29
Orange,0.55,12/28/17 9:44
Orange,0.66,12/28/17 9:59
Orange,0.55,12/28/17 10:14
Orange,0.70,12/28/17 10:29
Orange,0.60,12/28/17 10:44
Orange,0.60,12/28/17 10:59
Orange,0.57,12/28/17 11:14
Orange,0.60,12/28/17 11:29
Orange,0.61,12/28/17 11:44
Orange,0.56,12/28/17 11:59
Orange,0.58,12/28/17 12:14
Orange,0.54,12/28/17 12:29
Orange,0.60,12/28/17 12:44
Orange,0.59,12/28/17 12:59
Orange,0.62,12/28/17 13:14
Orange,0.58,12/28/17 13:29
Orange,0.59,12/28/17 13:44
Orange,0.57,12/28/17 13:59
Orange,0.54,12/28/17 14:14
Orange,0.59,12/28/17 14:29
Orange,0.61,12/28/17 14:44
Orange,0.52,12/28/17 14:59
Orange,0.55,12/28/17 15:14
Orange,0.56,12/28/17 15:29
Orange,0.55,12/28/17 15:44
Orange,0.57,12/28/17 15:59
Orange,0.55,12/28/17 16:14
Orange,0.57,12/28/17 16:29
Orange,0.57,12/28/17 16:44
Orange,0.58,12/28/17 16:59
Orange,0.58,12/28/17 17:14
Orange,0.59,12/28/17 17:29
Orange,0.56,12/28/17 17:44
Orange,0.57,12/28/17 17:59
Orange,0.51,12/28/17 18:14
Orange,0.60,12/28/17 18:29
Orange,0.55,12/28/17 18:44
Orange,0.62,12/28/17 18:59
Orange,0.60,12/28/17 19:14
Orange,0.59,12/28/17 19:29
Orange,0.60,12/28/17 19:44
Orange,0.60,12/28/17 19:59
Orange,0.64,12/28/17 20:14
Orange,0.57,12/28/17 20:29
Orange,0.57,12/28/17 20:44
Orange,0.68,12/28/17 20:59
Orange,0.60,12/28/17 21:14
Orange,0.58,12/28/17 21:29
Orange,0.69,12/28/17 21:44
Orange,0.67,12/28/17 21:59
Orange,0.69,12/28/17 22:14
Orange,0.63,12/28/17 22:29
Orange,0.63,12/28/17 22:44
Orange,0.60,12/28/17 22:59
Orange,0.64,12/28/17 23:14
Orange,0.60,12/28/17 23:29
Orange,0.58,12/28/17 23:44
Red,0.86,12/28/17 5:14
Red,0.75,12/28/17 5:29
Red,0.75,12/28/17 5:44
Red,0.77,12/28/17 5:59
Red,0.84,12/28/17 6:14
Red,0.83,12/28/17 6:29
Red,1.01,12/28/17 6:44
Red,0.86,12/28/17 6:59
Red,0.85,12/28/17 7:14
Red,0.94,12/28/17 7:29
Red,1.08,12/28/17 7:44
Red,0.88,12/28/17 7:59
Red,0.88,12/28/17 8:14
Red,0.71,12/28/17 8:29
Red,0.68,12/28/17 8:44
Red,0.65,12/28/17 8:59
Red,0.70,12/28/17 9:14
Red,0.74,12/28/17 9:29
Red,0.74,12/28/17 9:44
Red,0.76,12/28/17 9:59
Red,1.36,12/28/17 10:14
Red,0.98,12/28/17 10:29
Red,0.88,12/28/17 10:44
Red,0.82,12/28/17 10:59
Red,0.81,12/28/17 11:14
Red,0.73,12/28/17 11:29
Red,0.75,12/28/17 11:44
Red,0.70,12/28/17 11:59
Red,0.76,12/28/17 12:14
Red,0.76,12/28/17 12:29
Red,0.73,12/28/17 12:44
Red,0.83,12/28/17 12:59
Red,0.77,12/28/17 13:14
Red,0.72,12/28/17 13:29
Red,0.73,12/28/17 13:44
Red,0.76,12/28/17 13:59
Red,0.69,12/28/17 14:14
Red,1.02,12/28/17 14:29
Red,0.92,12/28/17 14:44
Red,0.86,12/28/17 14:59
Red,0.78,12/28/17 15:14
Red,0.74,12/28/17 15:29
Red,0.71,12/28/17 15:44
Red,0.76,12/28/17 15:59
Red,0.64,12/28/17 16:14
Red,0.71,12/28/17 16:29
Red,0.78,12/28/17 16:44
Red,0.70,12/28/17 16:59
Red,0.72,12/28/17 17:14
Red,0.68,12/28/17 17:29
Red,0.87,12/28/17 17:44
Red,0.74,12/28/17 17:59
Red,0.71,12/28/17 18:14
Red,0.71,12/28/17 18:29
Red,0.70,12/28/17 18:44
Red,0.71,12/28/17 18:59
Red,0.82,12/28/17 19:14
Red,0.83,12/28/17 19:29
Red,0.81,12/28/17 19:44
Red,0.74,12/28/17 19:59
Red,0.71,12/28/17 20:14
Red,0.72,12/28/17 20:29
Red,0.78,12/28/17 20:44
Red,0.68,12/28/17 20:59
Red,0.65,12/28/17 21:14
Red,0.76,12/28/17 21:29
Red,0.73,12/28/17 21:44
Red,0.69,12/28/17 21:59
Red,0.69,12/28/17 22:14
Red,0.71,12/28/17 22:29
Red,0.67,12/28/17 22:44
Red,0.71,12/28/17 22:59
Red,0.67,12/28/17 23:14
Red,0.71,12/28/17 23:29
Red,0.67,12/28/17 23:44
